"distance m","value db"
4.165628,0.369
4.165947,1.782
4.166905,4.457
4.16882,0.0
4.169458,3.547
4.169777,0.0
4.170735,5.253
4.171054,6.221
4.17233,3.77
4.17265,2.584
4.172969,1.459
4.173288,0.076
4.174245,1.366
4.174884,3.714
4.175203,4.941
4.177118,4.199
4.177437,1.532
4.177756,0.0
4.182224,1.369
4.183501,2.87
4.186373,2.395
4.186692,0.0
4.189565,1.411
4.190203,4.056
4.190522,5.196
4.191799,4.325
4.192118,2.815
4.194671,0.0
4.203927,4.701
4.204565,2.003
4.204884,0.0
4.206161,3.838
4.20648,1.018
4.206799,0.0
4.207757,3.863
4.209991,2.633
4.21031,0.801
4.212544,2.705
4.212863,4.416
4.213182,2.929
4.21414,0.0
4.214459,2.098
4.215097,0.0
4.215736,2.341
4.216055,3.909
4.222757,1.613
4.223076,0.0
4.22531,3.406
4.22563,5.082
4.227864,3.435
4.228183,0.0
4.229459,2.199
4.231694,1.579
4.232013,0.0
4.234247,2.667
4.234566,3.751
4.235204,1.576
4.235523,2.903
4.239034,1.7
4.239353,0.0
4.248609,3.216
4.248928,4.365
4.249566,3.381
4.251481,0.0
4.266482,2.083
4.266801,3.163
4.269354,3.56
4.269673,1.642
4.269992,0.0
4.270631,1.841
4.27095,0.0
4.275099,3.476
4.275418,6.104
4.275737,4.649
4.276056,3.174
4.276375,4.213
4.277652,2.277
4.277971,0.0
4.278609,1.364
4.278929,3.266
4.279248,1.674
4.279567,0.0
4.279886,1.534
4.280205,3.27
4.284035,2.638
4.286588,3.111
4.290418,0.0
4.292014,1.891
4.292652,0.0
4.29361,2.368
4.293929,3.793
4.294567,3.256
4.296482,1.551
4.296801,0.55
4.29744,1.381
4.298078,0.0
4.303823,1.714
4.304461,0.0
4.306057,2.778
4.306695,0.0
4.307334,2.517
4.307653,4.083
4.308929,3.101
4.311483,2.089
4.313717,0.475
4.317866,3.855
4.318185,2.536
4.318504,0.0
4.319461,3.34
4.322015,0.0
4.330632,2.275
4.330951,4.054
4.333185,2.416
4.333504,0.0
4.341164,2.4
4.342441,3.749
4.343717,0.0
4.345632,2.332
4.346271,0.0
4.34659,1.635
4.346909,0.0
4.350101,3.405
4.350739,2.296
4.351058,0.0
4.352335,0.983
4.352654,0.0
4.35425,1.479
4.354888,0.0
4.360314,1.333
4.360633,3.74
4.360952,4.725
4.362548,3.041
4.362867,0.443
4.365739,4.162
4.366058,5.336
4.368292,2.29
4.368612,0.0
4.378825,1.827
4.38042,4.231
4.38074,5.24
4.383293,4.0
4.383612,2.792
4.383931,3.885
4.384889,2.787
4.385208,3.884
4.386165,0.0
4.389995,1.374
4.390633,0.0
4.39191,3.153
4.393506,4.556
4.394144,3.402
4.395102,0.0
4.397655,0.983
4.397974,2.302
4.399251,0.826
4.399889,3.496
4.400527,2.058
4.401166,0.0
4.404038,1.812
4.404676,0.0
4.409783,2.399
4.412336,3.847
4.415208,3.385
4.415528,0.0
4.428294,1.379
4.429251,1.389
4.430209,4.148
4.430528,2.709
4.430847,0.0
4.436592,1.603
4.43723,0.67
4.446167,2.32
4.446486,4.169
4.451273,0.0
4.45255,2.44
4.453188,3.844
4.455422,2.187
4.455741,0.0
4.45989,1.867
4.460209,0.0
4.461167,1.783
4.46372,3.957
4.468188,2.812
4.468507,0.0
4.472657,3.35
4.47521,1.688
4.475529,0.653
4.477444,1.583
4.479678,0.0
4.481274,3.306
4.481593,4.714
4.481912,3.248
4.482231,0.0
4.489572,1.206
4.490529,0.29
4.495636,2.323
4.495955,4.0
4.496593,0.0
4.497232,3.703
4.500423,0.0
4.508083,4.153
4.508402,0.0
4.517019,1.309
4.517338,2.588
4.517977,4.394
4.521168,2.245
4.522126,0.0
4.530424,2.721
4.5317,0.0
4.536169,3.045
4.536488,4.678
4.53936,3.996
4.542871,0.0
4.543828,1.307
4.546062,1.948
4.546701,0.404
4.550531,2.046
4.55085,3.666
4.552446,1.324
4.552765,0.0
4.561382,0.0
4.567446,1.732
4.568723,3.326
4.569999,0.562
4.571276,3.401
4.571595,5.179
4.574787,0.098
4.577659,2.892
4.577978,4.893
4.578936,0.928
4.585319,2.491
4.585638,4.36
4.589149,2.457
4.589468,3.748
4.589787,4.939
4.590425,2.629
4.590744,4.253
4.592021,3.233
4.59234,0.866
4.602872,0.666
4.609255,1.481
4.609894,0.0
4.610851,1.523
4.61117,3.15
4.612128,1.52
4.612766,3.217
4.615958,2.546
4.617234,0.499
4.618511,3.074
4.61883,4.402
4.619788,1.707
4.628405,3.447
4.629043,1.068
4.629362,0.0
4.638299,2.728
4.638618,3.825
4.639256,5.135
4.640533,4.328
4.640852,3.228
4.641809,0.688
4.647554,2.311
4.647873,3.599
4.648512,2.071
4.648831,0.0
4.651384,2.2
4.65298,0.699
4.655533,2.677
4.655852,4.131
4.657448,3.034
4.657767,0.0
4.667342,2.545
4.667661,4.17
4.672768,4.916
4.674682,4.053
4.675002,0.0
4.682342,2.991
4.682661,5.074
4.682981,6.143
4.685853,4.521
4.686172,2.991
4.689045,0.588
4.691279,1.806
4.692236,4.057
4.695747,3.739
4.698938,0.0
4.704683,1.941
4.70596,2.287
4.706279,0.143
4.706917,1.845
4.707236,0.0
4.712024,2.259
4.712981,1.746
4.7133,0.72
4.718726,2.09
4.723194,0.0
4.740429,1.538
4.741386,0.0
4.742024,1.694
4.742344,0.0
4.74745,4.618
4.747769,5.744
4.748408,4.823
4.748727,2.972
4.749365,4.772
4.749684,5.799
4.750003,4.125
4.750323,0.0
4.751918,3.198
4.753833,3.613
4.754791,1.984
4.75511,0.0
4.755429,1.787
4.755748,3.042
4.757025,1.307
4.757663,3.0
4.758621,1.373
4.75894,0.0
4.759578,2.351
4.759897,4.045
4.760216,2.091
4.760855,1.232
4.761174,0.0
4.770429,0.0
4.772663,2.136
4.772983,0.524
4.773621,2.325
4.774578,1.037
4.774898,0.0
4.776812,2.555
4.777132,3.843
4.77777,2.705
4.778089,0.0
4.786068,2.544
4.788302,2.488
4.78894,0.0
4.79277,2.157
4.793089,3.365
4.797238,2.305
4.797558,0.0
4.798196,3.542
4.798515,4.894
4.802664,4.251
4.802983,3.041
4.803302,2.049
4.80426,0.0
4.80809,2.566
4.808409,0.0
4.811601,4.355
4.812558,0.938
4.813196,3.18
4.817664,2.825
4.817984,0.0
4.820537,1.352
4.821814,0.0
4.83458,2.421
4.834899,3.952
4.835218,2.56
4.835537,0.0
4.83841,2.213
4.839367,0.0
4.844793,2.968
4.845112,4.114
4.846069,3.265
4.846389,1.722
4.846708,0.0
4.855325,3.56
4.856282,2.812
4.856602,0.0
4.862027,1.675
4.862346,4.458
4.8649,2.842
4.865219,4.415
4.866815,4.025
4.870325,0.757
4.875113,2.445
4.876389,0.0
4.886602,2.855
4.887241,0.547
4.889156,3.091
4.889794,1.485
4.896177,2.905
4.897134,1.797
4.897454,0.236
4.900645,3.97
4.900964,5.073
4.903518,2.419
4.903837,0.0
4.911177,1.721
4.912454,0.0
4.916922,2.241
4.918518,0.0
4.919475,2.201
4.919795,0.652
4.921709,0.996
4.922029,3.301
4.924901,3.138
4.92522,0.166
4.928731,1.481
4.92905,3.208
4.930646,0.25
4.937986,2.62
4.938306,4.919
4.94054,2.494
4.940859,0.0
4.942455,1.39
4.942774,4.768
4.945965,3.622
4.946284,0.473
4.947242,1.411
4.949476,3.389
4.950114,2.24
4.951072,0.0
4.953944,2.566
4.95554,0.0
4.963838,1.902
4.964157,3.513
4.968945,3.832
4.969264,4.979
4.97054,4.016
4.97086,3.005
4.971179,0.322
4.975328,1.623
4.975966,0.0
4.978838,2.11
4.979158,4.875
4.981073,4.161
4.981392,0.0
4.989371,4.043
4.98969,5.129
4.990009,3.379
4.990647,4.568
4.99352,0.934
4.996073,2.274
4.996392,3.459
4.99703,4.702
5.001179,1.472
5.001499,0.0
5.004371,1.369
5.00469,0.0
5.008839,3.274
5.009158,5.077
5.010435,3.788
5.011712,0.0
5.014584,1.881
5.016499,1.817
5.016818,0.0
5.021286,2.598
5.021605,3.966
5.023839,0.0
5.026074,4.593
5.026393,5.897
5.027989,4.523
5.028308,0.862
5.031818,2.804
5.032138,1.463
5.032457,0.0
5.045542,2.874
5.04618,1.638
5.0465,0.0
5.047138,1.492
5.047776,0.0
5.048734,1.573
5.049053,4.29
5.051606,3.103
5.051925,0.0
5.056074,3.16
5.056393,5.047
5.063415,2.747
5.064372,0.223
5.065011,2.525
5.065649,0.402
5.076181,3.151
5.077458,0.0
5.082883,0.0
5.087671,3.602
5.088309,1.799
5.088947,3.886
5.090543,2.406
5.091181,4.023
5.09182,2.237
5.092139,0.0
5.09533,1.024
5.09565,3.155
5.096288,1.695
5.097245,0.0
5.104586,4.018
5.107458,3.478
5.108735,0.598
5.113203,2.706
5.113522,0.0
5.117352,3.161
5.117671,0.0
5.119586,1.368
5.120225,0.0
5.129799,0.0
5.131714,2.55
5.132033,0.0
5.132991,1.752
5.133629,3.548
5.133948,2.231
5.134268,0.0
5.135863,2.101
5.136182,4.429
5.138736,4.043
5.139055,3.013
5.141289,0.0
5.141927,1.846
5.142566,0.541
5.145119,2.869
5.147991,4.209
5.14831,2.457
5.14863,0.0
5.154694,2.704
5.155332,1.367
5.155651,2.73
5.157247,0.0
5.163311,3.409
5.163949,1.623
5.164587,0.0
5.167779,2.36
5.168098,3.687
5.168736,2.655
5.169056,1.466
5.169694,0.646
5.176396,2.304
5.176715,3.743
5.177992,2.35
5.178311,0.663
5.17863,1.992
5.179269,0.0
5.180864,2.319
5.181184,4.142
5.183737,1.321
5.184056,0.0
5.185333,1.041
5.185971,4.072
5.18629,5.133
5.191077,3.343
5.191397,1.466
5.191716,0.0
5.195226,2.086
5.195546,4.606
5.200014,4.543
5.201929,2.136
5.203524,3.129
5.205439,0.0
5.207993,1.432
5.208312,3.57
5.20895,0.0
5.21278,1.706
5.213099,0.0
5.213418,2.372
5.213737,3.835
5.214057,4.939
5.217248,3.602
5.217567,0.804
5.237993,2.485
5.239908,0.853
5.245334,4.404
5.24693,2.166
5.247249,0.0
5.248845,1.66
